grupo, algorithm, heuristic ,weight ,domain, instance, cost,h0, generated, time, gen_per_sec
x, wida, PDB, 2, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 77, 86, 25776, 0.004663, 5.52777e+06
x, wida, PDB, 2, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 62, 72, 14319, 0.002927, 4.89204e+06
x, wida, PDB, 2, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 70, 72, 10873, 0.002013, 5.40139e+06
x, wida, PDB, 2, 15puzzle_korf, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 58, 68, 9616, 0.001742, 5.52009e+06
x, wida, PDB, 2, 15puzzle_korf, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 87, 90, 95709, 0.017042, 5.61607e+06
x, wida, PDB, 2, 15puzzle_korf, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 63, 70, 14731, 0.003095, 4.75961e+06
x, wida, PDB, 2, 15puzzle_korf, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 64, 72, 2659, 0.000567, 4.68959e+06
x, wida, PDB, 2, 15puzzle_korf, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 66, 72, 6968, 0.001299, 5.36413e+06
x, wida, PDB, 2, 15puzzle_korf, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 76, 84, 29065, 0.005884, 4.93967e+06
x, wida, PDB, 2, 15puzzle_korf, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 63, 70, 19447, 0.003436, 5.65978e+06
x, wida, PDB, 2, 15puzzle_korf, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 66, 72, 6257, 0.001247, 5.01764e+06
x, wida, PDB, 2, 15puzzle_korf, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 74, 80, 49809, 0.008917, 5.58585e+06
x, wida, PDB, 2, 15puzzle_korf, '12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11', 61, 70, 2726, 0.000585, 4.65983e+06
x, wida, PDB, 2, 15puzzle_korf, '12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10', 74, 84, 3663, 0.000684, 5.35526e+06
x, wida, PDB, 2, 15puzzle_korf, '14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15', 79, 86, 34671, 0.006092, 5.69123e+06
x, wida, PDB, 2, 15puzzle_korf, '14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8', 82, 88, 7181, 0.001452, 4.94559e+06
x, wida, PDB, 2, 15puzzle_korf, '6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15', 74, 84, 12472, 0.002332, 5.3482e+06
x, wida, PDB, 2, 15puzzle_korf, '1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10', 75, 78, 8777, 0.001698, 5.16902e+06
x, wida, PDB, 2, 15puzzle_korf, '12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10', 68, 76, 46307, 0.009015, 5.13666e+06
x, wida, PDB, 2, 15puzzle_korf, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 76, 84, 978, 0.000266, 3.67669e+06
x, wida, PDB, 2, 15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 67, 74, 841, 0.000225, 3.73778e+06
x, wida, PDB, 2, 15puzzle_korf, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 68, 76, 2995, 0.000694, 4.31556e+06
x, wida, PDB, 2, 15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 66, 72, 50959, 0.009377, 5.43447e+06
x, wida, PDB, 2, 15puzzle_korf, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 60, 64, 10721, 0.002144, 5.00047e+06
x, wida, PDB, 2, 15puzzle_korf, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 90, 100, 25499, 0.004425, 5.76249e+06
x, wida, PDB, 2, 15puzzle_korf, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 64, 68, 97905, 0.016393, 5.97237e+06
x, wida, PDB, 2, 15puzzle_korf, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 71, 78, 113798, 0.018593, 6.12048e+06
x, wida, PDB, 2, 15puzzle_korf, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 69, 78, 5978, 0.00118, 5.0661e+06
x, wida, PDB, 2, 15puzzle_korf, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 63, 70, 2132, 0.000511, 4.17221e+06
x, wida, PDB, 2, 15puzzle_korf, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 77, 82, 3010, 0.000595, 5.05882e+06
x, wida, PDB, 2, 15puzzle_korf, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 71, 78, 4969, 0.000956, 5.1977e+06
x, wida, PDB, 2, 15puzzle_korf, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 73, 82, 23597, 0.005171, 4.56333e+06
x, wida, PDB, 2, 15puzzle_korf, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 78, 88, 967, 0.000234, 4.13248e+06
x, wida, PDB, 2, 15puzzle_korf, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 76, 84, 231813, 0.037381, 6.20136e+06
x, wida, PDB, 2, 15puzzle_korf, '14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6', 96, 104, 148460, 0.026185, 5.66966e+06
x, wida, PDB, 2, 15puzzle_korf, '12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1', 70, 80, 8467, 0.00194, 4.36443e+06
x, wida, PDB, 2, 15puzzle_korf, '13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11', 51, 58, 53182, 0.008728, 6.09326e+06
x, wida, PDB, 2, 15puzzle_korf, '3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8', 59, 62, 51314, 0.008673, 5.91652e+06
x, wida, PDB, 2, 15puzzle_korf, '5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14', 68, 76, 2183, 0.000501, 4.35729e+06
x, wida, PDB, 2, 15puzzle_korf, '5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13', 73, 78, 30763, 0.005284, 5.82192e+06
x, wida, PDB, 2, 15puzzle_korf, '15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3', 67, 70, 157338, 0.026681, 5.89701e+06
x, wida, PDB, 2, 15puzzle_korf, '11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B', 92, 96, 8311, 0.001557, 5.33783e+06
x, wida, PDB, 2, 15puzzle_korf, '6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15', 53, 66, 8666, 0.001959, 4.42369e+06
x, wida, PDB, 2, 15puzzle_korf, '4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5', 79, 86, 19372, 0.003511, 5.51752e+06
x, wida, PDB, 2, 15puzzle_korf, '8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3', 72, 80, 106353, 0.017851, 5.95782e+06
x, wida, PDB, 2, 15puzzle_korf, '5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1', 63, 66, 105987, 0.018326, 5.78342e+06
x, wida, PDB, 2, 15puzzle_korf, '7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14', 59, 66, 34201, 0.006161, 5.55121e+06
x, wida, PDB, 2, 15puzzle_korf, '11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2', 73, 82, 34420, 0.006312, 5.45311e+06
x, wida, PDB, 2, 15puzzle_korf, '7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9', 58, 64, 96273, 0.016516, 5.82907e+06
x, wida, PDB, 2, 15puzzle_korf, '7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9', 59, 66, 29298, 0.004988, 5.8737e+06
x, wida, PDB, 2, 15puzzle_korf, '6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3', 65, 74, 78946, 0.013215, 5.97397e+06
x, wida, PDB, 2, 15puzzle_korf, '15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11', 58, 60, 15624, 0.002745, 5.6918e+06
x, wida, PDB, 2, 15puzzle_korf, '5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14', 52, 60, 87400, 0.014945, 5.84811e+06
x, wida, PDB, 2, 15puzzle_korf, '12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6', 68, 76, 204597, 0.033758, 6.0607e+06
x, wida, PDB, 2, 15puzzle_korf, '6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13', 67, 74, 1721, 0.00037, 4.65135e+06
x, wida, PDB, 2, 15puzzle_korf, '14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5', 86, 96, 24140, 0.004292, 5.62442e+06
x, wida, PDB, 2, 15puzzle_korf, '14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11', 60, 64, 7456, 0.001823, 4.08996e+06
x, wida, PDB, 2, 15puzzle_korf, '15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4', 79, 86, 6594, 0.001152, 5.72396e+06
x, wida, PDB, 2, 15puzzle_korf, 'B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7', 72, 72, 2893, 0.000605, 4.78182e+06
x, wida, PDB, 2, 15puzzle_korf, '3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11', 77, 82, 30263, 0.005435, 5.56817e+06
x, wida, PDB, 2, 15puzzle_korf, 'B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15', 56, 56, 18051, 0.003282, 5.5e+06
x, wida, PDB, 2, 15puzzle_korf, '11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2', 77, 86, 21971, 0.003868, 5.6802e+06
x, wida, PDB, 2, 15puzzle_korf, '13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7', 71, 78, 4389, 0.001098, 3.99727e+06
x, wida, PDB, 2, 15puzzle_korf, '14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B', 84, 88, 9105, 0.001678, 5.4261e+06
x, wida, PDB, 2, 15puzzle_korf, '12 3 9 1 4 5 10 2 6 11 15 B 14 7 13 8', 59, 70, 16438, 0.002925, 5.61983e+06
x, wida, PDB, 2, 15puzzle_korf, '15 8 10 7 B 12 14 1 5 9 6 3 13 11 4 2', 73, 78, 320415, 0.052794, 6.06916e+06
x, wida, PDB, 2, 15puzzle_korf, '4 7 13 10 1 2 9 6 12 8 14 5 3 B 11 15', 60, 68, 4840, 0.000935, 5.17647e+06
x, wida, PDB, 2, 15puzzle_korf, '6 B 5 10 11 12 9 2 1 7 4 3 14 8 13 15', 65, 74, 15206, 0.002724, 5.58223e+06
x, wida, PDB, 2, 15puzzle_korf, '9 5 11 10 13 B 2 1 8 6 14 12 4 7 3 15', 62, 68, 72143, 0.013142, 5.4895e+06
x, wida, PDB, 2, 15puzzle_korf, '15 2 12 11 14 13 9 5 1 3 8 7 B 10 6 4', 85, 86, 280198, 0.047664, 5.87861e+06
x, wida, PDB, 2, 15puzzle_korf, '11 1 7 4 10 13 3 8 9 14 B 15 6 5 2 12', 68, 76, 1977, 0.000454, 4.35463e+06
x, wida, PDB, 2, 15puzzle_korf, '5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3', 66, 76, 9046, 0.001709, 5.29315e+06
x, wida, PDB, 2, 15puzzle_korf, '9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4', 77, 82, 2031, 0.000466, 4.35837e+06
x, wida, PDB, 2, 15puzzle_korf, '3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1', 73, 82, 135054, 0.023309, 5.79407e+06
x, wida, PDB, 2, 15puzzle_korf, '13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15', 60, 68, 312838, 0.053384, 5.86015e+06
x, wida, PDB, 2, 15puzzle_korf, '5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2', 85, 90, 173665, 0.029661, 5.85499e+06
x, wida, PDB, 2, 15puzzle_korf, '4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14', 72, 76, 3779, 0.000759, 4.97892e+06
x, wida, PDB, 2, 15puzzle_korf, '1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10', 61, 70, 97963, 0.017358, 5.64368e+06
x, wida, PDB, 2, 15puzzle_korf, '9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3', 56, 64, 432073, 0.07114, 6.07356e+06
x, wida, PDB, 2, 15puzzle_korf, 'B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6', 62, 68, 40217, 0.006861, 5.86168e+06
x, wida, PDB, 2, 15puzzle_korf, '7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8', 75, 82, 8890, 0.00164, 5.42073e+06
x, wida, PDB, 2, 15puzzle_korf, '11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15', 68, 76, 4866, 0.001002, 4.85629e+06
